id,key,type,name,state,county_fips,geometry
631,,county,Lewis County,ID,16061,
632,,county,Lincoln County,ID,16063,
633,,county,Madison County,ID,16065,
634,,county,Minidoka County,ID,16067,
635,,county,Nez Perce County,ID,16069,
636,,county,Oneida County,ID,16071,
637,,county,Owyhee County,ID,16073,
638,,county,Payette County,ID,16075,
639,,county,Power County,ID,16077,
640,,county,Shoshone County,ID,16079,
641,,county,Teton County,ID,16081,
642,,county,Twin Falls County,ID,16083,
643,,county,Valley County,ID,16085,
644,,county,Washington County,ID,16087,
645,,county,Adams County,IL,17001,
646,,county,Alexander County,IL,17003,
647,,county,Bond County,IL,17005,
648,,county,Boone County,IL,17007,
649,,county,Brown County,IL,17009,
650,,county,Bureau County,IL,17011,
651,,county,Calhoun County,IL,17013,
652,,county,Carroll County,IL,17015,
653,,county,Cass County,IL,17017,
654,,county,Champaign County,IL,17019,
655,,county,Christian County,IL,17021,
656,,county,Clark County,IL,17023,
657,,county,Clay County,IL,17025,
658,,county,Clinton County,IL,17027,
659,,county,Coles County,IL,17029,
660,,county,Cook County,IL,17031,
661,,county,Crawford County,IL,17033,
662,,county,Cumberland County,IL,17035,
663,,county,DeKalb County,IL,17037,
664,,county,De Witt County,IL,17039,
665,,county,Douglas County,IL,17041,
666,,county,DuPage County,IL,17043,
667,,county,Edgar County,IL,17045,
668,,county,Edwards County,IL,17047,
669,,county,Effingham County,IL,17049,
670,,county,Fayette County,IL,17051,
671,,county,Ford County,IL,17053,
672,,county,Franklin County,IL,17055,
673,,county,Fulton County,IL,17057,
674,,county,Gallatin County,IL,17059,
675,,county,Greene County,IL,17061,
676,,county,Grundy County,IL,17063,
677,,county,Hamilton County,IL,17065,
678,,county,Hancock County,IL,17067,
679,,county,Hardin County,IL,17069,
680,,county,Henderson County,IL,17071,
681,,county,Henry County,IL,17073,
682,,county,Iroquois County,IL,17075,
683,,county,Jackson County,IL,17077,
684,,county,Jasper County,IL,17079,
685,,county,Jefferson County,IL,17081,
686,,county,Jersey County,IL,17083,
687,,county,Jo Daviess County,IL,17085,
688,,county,Johnson County,IL,17087,
689,,county,Kane County,IL,17089,
690,,county,Kankakee County,IL,17091,
691,,county,Kendall County,IL,17093,
692,,county,Knox County,IL,17095,
693,,county,Lake County,IL,17097,
694,,county,LaSalle County,IL,17099,
695,,county,Lawrence County,IL,17101,
696,,county,Lee County,IL,17103,
697,,county,Livingston County,IL,17105,
698,,county,Logan County,IL,17107,
699,,county,McDonough County,IL,17109,
700,,county,McHenry County,IL,17111,
701,,county,McLean County,IL,17113,
702,,county,Macon County,IL,17115,
703,,county,Macoupin County,IL,17117,
704,,county,Madison County,IL,17119,
705,,county,Marion County,IL,17121,
706,,county,Marshall County,IL,17123,
707,,county,Mason County,IL,17125,
708,,county,Massac County,IL,17127,
709,,county,Menard County,IL,17129,
710,,county,Mercer County,IL,17131,
711,,county,Monroe County,IL,17133,
712,,county,Montgomery County,IL,17135,
713,,county,Morgan County,IL,17137,
714,,county,Moultrie County,IL,17139,
715,,county,Ogle County,IL,17141,
716,,county,Peoria County,IL,17143,
717,,county,Perry County,IL,17145,
718,,county,Piatt County,IL,17147,
719,,county,Pike County,IL,17149,
720,,county,Pope County,IL,17151,
721,,county,Pulaski County,IL,17153,
722,,county,Putnam County,IL,17155,
723,,county,Randolph County,IL,17157,
724,,county,Richland County,IL,17159,
725,,county,Rock Island County,IL,17161,
726,,county,St. Clair County,IL,17163,
727,,county,Saline County,IL,17165,
728,,county,Sangamon County,IL,17167,
729,,county,Schuyler County,IL,17169,
730,,county,Scott County,IL,17171,
731,,county,Shelby County,IL,17173,
732,,county,Stark County,IL,17175,
733,,county,Stephenson County,IL,17177,
734,,county,Tazewell County,IL,17179,
735,,county,Union County,IL,17181,
736,,county,Vermilion County,IL,17183,
737,,county,Wabash County,IL,17185,
738,,county,Warren County,IL,17187,
739,,county,Washington County,IL,17189,
740,,county,Wayne County,IL,17191,
741,,county,White County,IL,17193,
742,,county,Whiteside County,IL,17195,
743,,county,Will County,IL,17197,
744,,county,Williamson County,IL,17199,
745,,county,Winnebago County,IL,17201,
746,,county,Woodford County,IL,17203,
747,,county,Adams County,IN,18001,
748,,county,Allen County,IN,18003,
749,,county,Bartholomew County,IN,18005,
750,,county,Benton County,IN,18007,
751,,county,Blackford County,IN,18009,
752,,county,Boone County,IN,18011,
753,,county,Brown County,IN,18013,
754,,county,Carroll County,IN,18015,
755,,county,Cass County,IN,18017,
756,,county,Clark County,IN,18019,
757,,county,Clay County,IN,18021,
758,,county,Clinton County,IN,18023,
759,,county,Crawford County,IN,18025,
760,,county,Daviess County,IN,18027,
761,,county,Dearborn County,IN,18029,
762,,county,Decatur County,IN,18031,
763,,county,DeKalb County,IN,18033,
764,,county,Delaware County,IN,18035,
765,,county,Dubois County,IN,18037,
766,,county,Elkhart County,IN,18039,
767,,county,Fayette County,IN,18041,
768,,county,Floyd County,IN,18043,
769,,county,Fountain County,IN,18045,
